              Item      Mean        SD  LeaveOneOut
138                                                 Dras inte med när andra skojar och skämtar | -
139                                              Drabbas sällan av spontan och barnslig glädje | -
140                                     Undviker människor som hela tiden skall försöka skämta | -
141                               Ser till att jag ofta får möjlighet att roa och glädja andra | +
142                    Väljer ibland bort att aktivt delta när andra börjar skoja med varandra | -
143                                                                  Vill vara glädjespridaren | +
144                                                               Visar sällan intensiv glädje | -
145                                                                   Skrattar mig genom livet | +
146                                                 Måste hela tiden få skratta och ha det kul | +
147                                               Rollen som glädjespridare får någon annan ta | -
148                                    Känner inget krav på att jag skall vara glad hela tiden | -
149                                       Måste inte alltid vara den som får andra att skratta | -
150                                              Är den som skrattar högst och mest på en fest | +
151                                         Söker ständigt tillfällen att roa och glädja andra | +
152                                                Vill vara glädjespridaren oavsett situation | +
153                               Strävar hela tiden efter tillfällen att roa och glädja andra | +
154                                           Vill vara glädjespridaren oavsett vad som händer | +
155                                            Uppskattar stunden när andra gått hem för dagen | -
156                                         Stannar kvar när alla andra har gått hem för dagen | -
157                                   Gillar att befinna mig på platser där man får vara ensam | -
158                                        Befinner mig ofta på platser där man får vara ensam | -
159                                                     Vill ständigt ha människor omkring mig | +
160                                                         Har ständigt människor omkring mig | +
161                                                 Vill ständigt vara med vänner och kollegor | +
162                                       Ser till att jag har vänner och kolleger omkring mig | +
163                                                 Strävar efter att ha människor omkring mig | +
164                                                  Föredrar att någon gång vara på egen hand | -
165                                              Tycker om när jag kan göra saker på egen hand | -
166                              Strävar efter att behålla kontakten med människor jag träffar | +
167                                        Vill gärna att det finns andra människor i närheten | +
168                                       Vill ständigt ha människor omkring mig att umgås med | +
169                                                            Gillar att då och då vara ensam | -
170                                         Vill oftast ha människor omkring mig att umgås med | +
171                                            Ibland behöver jag en paus i umgänget med andra | -
172                                                Vill ständigt umgås med vänner och kollegor | +
173                                           Är utåtriktad och umgås med människor hela tiden | +
174                               Är utåtriktad och vill umgås med människor precis hela tiden | +
175                                           Kan tröttna på att ha många kamrater omkring mig | -
176                                      Är utåtriktad och vill umgås med människor hela tiden | +
177                                               Klarar mig bra med ett mindre antal kompisar | +
178                                                Klarar mig bra med ett litet antal kompisar | -
179                                             Trivs med stunden när andra gått hem för dagen | -
180                                               Strävar efter att ha mycket folk omkring mig | +
